bus_number,area_number
3,9
4,6
10,7
15,2
21,7
22,7
26,6
29,6
32,3
33,4
38,12
39,1
42,4
44,7
51,3
52,10
53,6
58,6
59,5
69,10
71,10
72,2
75,4
76,12
77,4
89,9
90,5
91,10
96,6
113,5
115,7
118,6
124,6
128,8
130,1
132,1
133,10
138,1
139,12
140,12
143,10
145,6
148,6
150,6
163,9
164,10
171,5
172,4
174,5
177,1
179,4
184,8
188,5
194,11
195,6
196,7
198,8
199,10
201,4
205,10
207,8
211,12
216,7
217,9
218,9
221,6
225,7
228,9
230,3
231,12
236,4
243,11
244,10
249,3
257,4
261,1
264,3
266,3
267,4
268,12
271,9
275,10
280,6
281,11
283,8
284,2
292,6
297,10
299,2
304,1
305,5
306,7
311,10
312,12
314,9
315,1
317,9
322,1
326,12
333,5
338,6
344,10
346,7
349,11
350,7
351,12
352,7
360,12
367,7
369,12
370,10
377,11
380,1
385,4
387,10
389,1
392,10
395,11
401,5
408,8
410,5
413,7
415,4
416,9
420,11
425,10
426,5
427,1
429,4
432,6
440,3
441,1
442,3
444,8
445,2
449,7
453,6
455,5
472,11
473,3
477,4
481,2
483,4
486,10
489,3
490,7
496,11
500,9
502,6
506,5
509,4
513,6
516,5
519,4
520,5
523,11
527,3
536,1
539,10
544,1
548,12
549,6
550,4
552,1
554,7
556,7
558,11
559,10
561,6
564,5
575,8
577,12
579,4
583,9
585,10
593,10
594,7
595,4
597,3
601,6
602,2
604,8
608,5
609,9
610,1
615,5
616,6
618,4
619,7
621,4
628,1
639,6
641,6
642,4
643,10
649,2
650,12
656,12
658,5
659,9
661,9
662,11
666,9
676,10
678,6
682,6
686,3
687,8
693,3
695,3
698,1
699,2
702,1
706,4
707,5
709,3
710,4
712,11
718,5
720,6
722,10
726,8
731,4
733,12
739,3
742,8
747,7
749,5
750,7
751,3
754,3
757,7
766,6
769,8
772,9
775,11
776,6
778,6
780,1
784,10
785,1
789,9
790,12
792,9
795,6
797,3
800,8
803,5
804,6
805,9
806,10
807,2
808,4
809,8
814,4
819,6
823,7
838,11
839,8
849,3
851,6
854,4
858,8
869,2
870,7
871,6
878,11
883,6
891,5
892,5
898,12
900,6
903,7
905,9
907,6
908,6
913,9
916,3
919,11
920,7
923,7
928,10
929,2
930,4
932,4
933,9
935,7
947,2
948,1
950,10
953,5
954,7
955,9
957,3
960,5
962,4
964,7
970,3
972,9
976,4
980,7
981,3
986,4
987,1
988,4
994,10
999,12
1000,1
1001,5
1002,7
1005,5
1010,12
1011,10
1013,3
1015,9
1020,10
1021,4
1023,4
1025,1
1026,5
1027,7
1030,3
1033,7
1035,5
1036,1
1037,9
1039,9
1040,6
1043,6
1046,10
1051,5
1052,12
1057,12
1060,2
1064,2
1065,4
1074,2
1077,8
1078,9
1081,5
1083,9
1086,4
1090,7
1093,7
1094,10
1096,6
1100,6
1101,9
1102,7
1105,7
1106,10
1109,1
1111,7
1114,3
1115,2
1121,2
1123,11
1124,12
1129,7
1133,4
1136,7
1137,7
1146,9
1151,7
1153,8
1155,1
1156,7
1159,5
1163,9
1168,3
1172,7
1173,4
1174,1
1175,2
1179,9
1183,5
1185,4
1187,9
1188,5
1194,5
1198,6
1200,2
1201,5
1205,11
1207,10
1216,8
1221,10
1227,11
1232,4
1233,7
1234,6
1237,5
1239,1
1240,4
1241,3
1248,9
1249,6
1250,1
1251,7
1255,10
1260,11
1262,7
1265,5
1271,3
1275,9
1277,10
1280,3
1282,2
1294,3
1295,6
1301,5
1305,5
1311,5
1317,9
1326,5
1330,10
1331,11
1334,6
1338,12
1339,1
1341,9
1343,6
1344,2
1347,4
1350,10
1352,10
1354,6
1355,6
1362,12
1364,9
1367,9
1380,5
1391,3
1392,12
1393,3
1394,7
1397,5
1398,6
1399,3
1401,9
1407,1
1409,2
1411,3
1414,7
1415,7
1418,4
1421,4
1422,5
1430,4
1435,7
1436,5
1437,3
1439,2
1445,9
1448,7
1457,3
1458,4
1459,7
1461,2
1462,5
1463,11
1464,10
1465,7
1471,2
1475,3
1477,11
1478,9
1479,3
1483,5
1486,7
1489,1
1491,2
1494,9
1498,4
1501,4
1502,5
1503,2
1504,8
1513,3
1516,10
1520,4
1526,8
1531,9
1538,8
1539,5
1541,6
1543,1
1545,7
1547,9
1549,4
1551,7
1552,5
1554,8
1556,5
1562,7
1564,11
1566,7
1568,7
1570,1
1578,8
1579,9
1584,5
1591,12
1592,8
1595,7
1597,12
1599,3
1600,4
1602,4
1604,6
1605,5
1607,9
1609,7
1611,9
1616,9
1618,3
1625,6
1629,8
1632,4
1633,11
1635,11
1638,4
1639,4
1642,8
1643,7
1644,9
1645,3
1662,7
1666,3
1670,10
1672,5
1676,9
1680,7
1685,1
1689,10
1692,8
1697,4
1702,10
1703,1
1704,8
1708,5
1709,6
1711,6
1716,2
1721,6
1722,10
1728,4
1730,7
1734,1
1741,3
1742,5
1746,7
1747,10
1750,7
1752,3
1754,5
1758,7
1763,5
1767,5
1768,9
1769,2
1770,1
1774,1
1775,5
1777,12
1778,11
1787,12
1788,12
1793,3
1794,7
1798,9
1802,3
1803,7
1808,6
1810,12
1813,6
1815,9
1817,7
1833,7
1836,10
1838,7
1841,4
1844,5
1848,1
1850,4
1851,5
1852,5
1857,6
1860,5
1862,1
1866,5
1868,6
1869,3
1870,10
1872,3
1876,5
1880,10
1883,6
1888,8
1889,12
1890,12
1894,2
1895,6
1896,6
1897,4
1898,4
1899,1
1909,3
1910,6
1912,3
1913,11
1914,5
1917,7
1923,7
1936,11
1940,5
1942,4
1947,2
1956,12
1957,2
1959,5
1965,5
1968,9
1969,4
1973,7
1974,1
1979,5
1980,7
1984,10
1985,4
1989,12
1998,7
1999,1
2002,12
2006,1
2009,4
2012,7
2019,7
2020,7
2021,7
2030,10
2031,1
2035,8
2042,8
2043,5
2044,6
2050,6
2055,10
2056,6
2057,6
2058,1
2060,4
2072,5
2077,11
2078,6
2079,9
2081,2
2083,7
2085,9
2088,9
2089,7
2091,3
2093,9
2096,4
2101,6
2107,9
2116,4
2117,10
2120,11
2126,4
2128,7
2129,6
2132,6
2140,1
2142,6
2143,3
2147,3
2150,11
2154,10
2155,8
2161,5
2166,9
2168,9
2172,4
2174,7
2177,5
2180,10
2183,7
2188,3
2189,6
2193,3
2197,6
2202,4
2206,1
2208,6
2225,3
2228,12
2229,9
2230,7
2231,6
2233,1
2235,3
2236,2
2240,10
2242,5
2248,3
2252,5
2261,2
2267,9
2268,9
2271,11
2273,7
2276,5
2286,8
2288,6
2291,6
2297,3
2299,9
2301,4
2303,9
2304,5
2305,10
2308,7
2313,7
2319,6
2327,7
2328,9
2330,11
2331,12
2335,10
2337,5
2340,8
2341,5
2343,2
2350,11
2355,4
2358,4
2359,6
2360,5
2361,6
2365,5
2372,7
2377,9
2381,10
2393,6
2403,4
2406,7
2407,1
2410,1
2412,2
2416,4
2421,7
2424,7
2425,7
2426,6
2428,10
2430,9
2432,5
2437,4
2438,7
2441,9
2446,9
2448,12
2449,9
2457,7
2458,7
2459,4
2460,1
2467,9
2468,6
2471,4
2475,6
2478,12
2479,6
2481,9
2482,10
2489,6
2494,10
2496,4
2497,1
2503,7
2504,3
2507,4
2510,6
2517,2
2518,6
2520,9
2523,12
2526,5
2527,9
2535,8
2538,4
2549,9
2550,6
2551,4
2552,10
2555,12
2558,8
2562,1
2563,9
2564,4
2566,3
2572,10
2575,9
2591,8
2597,6
2598,6
2600,6
2616,10
2619,10
2622,4
2627,9
2629,7
2641,8
2642,2
2644,7
2648,12
2653,7
2654,6
2656,5
2658,4
2660,1
2667,4
2668,3
2676,5
2686,3
2689,8
2692,1
2695,7
2698,12
2700,3
2702,7
2703,11
2708,10
2719,6
2720,11
2721,6
2722,10
2728,12
2730,4
2732,9
2734,1
2740,3
2745,10
2748,10
2749,6
2751,7
2754,9
2760,10
2764,4
2769,12
2770,8
2782,5
2785,2
2786,9
2794,7
2795,5
2796,11
2797,6
2799,5
2800,4
2801,7
2804,12
2806,6
2812,11
2815,7
2816,7
2817,1
2824,12
2832,12
2841,5
2842,6
2844,4
2847,9
2848,8
2849,4
2850,9
2853,1
2854,5
2863,6
2866,6
2870,9
2872,6
2877,6
2878,6
2886,9
2888,7
2889,6
2894,1
2896,3
2898,7
2899,1
2900,10
2902,5
2907,2
2908,9
2910,8
2913,2
2916,3
2917,2
2918,5
2919,7
2921,2
2924,2
2927,11
2928,7
2930,5
2931,5
2934,6
2938,8
2940,9
2946,4
2949,6
2951,4
2954,1
2957,4
2961,7
2962,4
2965,11
2967,9
2968,7
2971,8
2972,9
2974,10
2978,2
2980,5
2981,7
2985,6
2995,9
3000,11
3007,1
3008,3
3013,6
3018,5
3019,7
3021,8
3022,5
3023,10
3027,4
3028,8
3036,7
3037,7
3044,5
3047,10
3051,5
3054,1
3061,2
3063,4
3065,3
3066,3
3067,2
3069,8
3070,7
3071,6
3072,6
3075,6
3076,4
3080,1
3082,7
3083,5
3085,5
3095,4
3097,9
3106,4
3109,3
3111,2
3112,6
3113,4
3114,6
3119,10
3121,6
3125,3
3126,6
3133,6
3134,5
3137,5
3145,5
3148,10
3150,3
3157,3
3163,3
3166,5
3169,11
3177,10
3178,4
3182,10
3183,5
3184,7
3186,1
3187,9
3190,11
3191,8
3193,4
3200,7
3204,6
3205,9
3206,11
3210,10
3211,1
3215,10
3216,10
3218,6
3221,9
3224,12
3231,8
3233,4
3239,5
3240,6
3241,6
3242,9
3243,7
3246,6
3248,8
3255,7
3256,1
3257,12
3265,1
